38;85.66666667;171.6666667;245.3333333;396.6666667;523.6666667;684;901;1112.666667;1436.333333
35;94.66666667;176;274;372.3333333;510.6666667;666.3333333;890.6666667;1122.666667;1420
27;77.66666667;131.6666667;220;341.6666667;467;651.3333333;802.3333333;1095.666667;1445.333333
42.33333333;69.33333333;121.6666667;169;224;333;452.3333333;659.6666667;972;1456.666667
37;55;80.66666667;117.3333333;181.6666667;267.6666667;388.6666667;592.3333333;912.3333333;1417.666667
20;80.33333333;134.6666667;189.3333333;258.6666667;305.3333333;385;527.3333333;856;1456.333333
47;101;199;381;540;744;949.3333333;1122;1299.333333;1421.333333
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
