195;247;319;465;588;681;851;1082;1206;1578;1712;2095;2472;2761;3249;3756;4365;5037;5760;6961
283;362;377;489;604;596;751;828;944;1142;1248;1459;1821;2227;2597;3207;4009;4754;5795;6989
555;642;770;825;954;1068;1176;1305;1414;1476;1585;1805;1914;2167;2564;3008;3857;4638;5963;7827
372;533;592;732;961;1116;1176;1286;1431;1528;1641;1790;1867;2131;2490;2915;3513;4384;5858;7558
788;918;1076;1175;1229;1368;1509;1602;1769;1829;2019;2127;2394;2568;2855;3331;3838;4758;6097;7629
810;965;1126;1193;1312;1457;1557;1628;1808;1923;2054;2182;2444;2630;2953;3527;4216;5195;6628;8300
876;1002;1134;1329;1445;1614;1692;1815;1888;1956;2122;2324;2359;2616;2972;3447;3894;4949;6036;7633
890;1122;1229;1370;1421;1573;1566;1712;1886;1974;2093;2286;2478;2698;3102;3409;4153;5093;6460;8120
866;1014;1226;1261;1420;1588;1603;1714;1772;2004;2109;2234;2408;2560;2963;3432;3981;4812;5955;7156
923;1139;1320;1419;1493;1617;1735;1854;1931;2047;2161;2294;2569;2773;3116;3432;4047;5097;5960;7918
1082;1218;1338;1476;1626;1711;1738;1940;1966;2092;2195;2399;2571;2823;3168;3634;4137;5164;6271;7846
919;1105;1294;1432;1546;1673;1791;1944;1954;2078;2236;2425;2567;2736;3099;3631;4361;4977;6290;7808
1126;1200;1376;1491;1622;1706;1833;1904;2063;2141;2278;2487;2523;2900;3163;3674;4278;5292;6575;7977
1040;1161;1370;1486;1587;1711;1769;1946;2024;2157;2246;2368;2606;2734;3114;3502;4066;5097;6060;7620
951;1085;1213;1405;1574;1638;1745;1861;1918;2073;2186;2305;2506;2691;2839;3399;3803;4680;5891;7387
1057;1234;1342;1486;1640;1710;1870;1970;1999;2160;2208;2406;2679;2858;3234;3824;4344;5332;6784;8329
854;1093;1248;1448;1507;1674;1845;1905;1987;2091;2199;2334;2573;2760;2984;3464;4015;4926;6043;7678
857;1008;1223;1378;1404;1611;1741;1901;2052;2181;2230;2384;2508;2756;3163;3669;4477;5166;6632;8062
987;1144;1262;1419;1573;1668;1792;1897;2059;2183;2210;2368;2542;2897;3128;3686;4226;5084;6475;8133
1188;1320;1474;1580;1645;1802;1930;2001;2127;2151;2315;2460;2687;2966;3290;3808;4352;5053;6376;7936
980;1192;1322;1464;1440;1655;1669;1842;1962;2134;2237;2407;2596;2802;2996;3416;3955;4608;5703;7314
